Rk,Player,Pos,Age,Tm,G,MP,PER,TS%▼,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
29,Shai Gilgeous-Alexander\gilgesh01,SG,22,OKC,35,1180,21.8,.623,.301,.405,1.7,13.0,7.4,31.2,1.1,1.7,13.7,28.2,,2.8,0.9,3.6,.147,,3.8,0.0,3.8,1.7
30,Bam Adebayo\adebaba01,C,23,MIA,49,1640,22.7,.622,.013,.446,8.1,23.0,15.7,27.2,1.5,3.6,15.0,24.2,,4.1,2.6,6.7,.196,,2.9,1.8,4.8,2.8
31,Miles Bridges\bridgmi02,PF,22,CHO,54,1499,13.4,.622,.464,.189,4.9,17.9,11.4,10.5,1.1,2.6,15.6,16.0,,1.5,1.5,3.0,.095,,-0.5,-0.2,-0.7,0.5
32,Jeff Green\greenje02,C,34,BRK,51,1358,12.1,.622,.473,.296,2.1,13.2,7.9,7.3,1.0,1.1,9.1,14.8,,1.9,0.8,2.8,.098,,-0.4,-1.0,-1.4,0.2
33,Kawhi Leonard\leonaka01,SF,29,LAC,45,1559,26.9,.621,.270,.318,3.9,17.2,10.7,24.0,2.4,1.1,8.6,29.2,,5.9,2.1,8.0,.246,,5.8,1.0,6.8,3.5
34,Daniel Theis\theisda01,C,28,TOT,51,1234,15.4,.621,.328,.243,6.0,18.0,12.0,9.6,1.2,3.7,11.3,15.5,,2.1,1.4,3.5,.134,,-0.4,0.6,0.2,0.7
35,Kyrie Irving\irvinky01,PG,28,BRK,39,1370,25.3,.619,.333,.198,3.7,11.2,7.6,29.3,1.7,1.5,9.1,30.6,,4.8,1.1,5.8,.204,,6.1,-0.6,5.5,2.6
36,Lauri Markkanen\markkla01,PF,23,CHI,34,937,15.4,.619,.539,.197,3.1,18.7,11.1,4.7,0.8,1.1,8.8,20.8,,1.2,0.8,2.0,.103,,1.4,-1.6,-0.2,0.4
37,Jonas Valančiūnas\valanjo01,C,28,MEM,48,1345,24.0,.619,.075,.279,16.0,33.0,24.3,9.9,0.9,2.5,11.2,23.3,,3.7,2.0,5.7,.203,,2.8,-0.8,2.0,1.3
38,James Harden\hardeja01,PG-SG,31,TOT,42,1558,24.6,.616,.453,.438,2.6,20.7,12.0,44.2,1.5,1.6,16.7,28.7,,5.2,1.6,6.8,.209,,6.1,0.4,6.5,3.3
39,Karl-Anthony Towns\townska01,C,25,MIN,34,1180,23.6,.616,.348,.323,8.1,27.4,17.4,22.9,1.0,3.5,13.8,28.5,,2.6,1.1,3.7,.151,,4.2,0.5,4.7,2.0
40,Paul George\georgpa01,SF,30,LAC,42,1411,21.8,.615,.430,.231,2.9,17.5,10.4,25.7,1.7,1.1,14.2,29.1,,3.2,1.6,4.9,.166,,4.9,-0.3,4.5,2.3
41,Harrison Barnes\barneha02,PF,28,SAC,53,1925,15.0,.613,.385,.378,3.4,17.1,10.2,12.9,1.0,0.4,11.0,16.8,,3.5,0.3,3.7,.093,,1.1,-1.6,-0.5,0.7
42,Damian Lillard\lillada01,PG,30,POR,52,1867,25.1,.613,.535,.372,1.4,11.5,6.3,35.8,1.2,0.7,11.9,31.9,,7.2,0.4,7.6,.194,,7.1,-1.9,5.2,3.4
