Rk,Player,Pos,Age,Tm,G,MP,PER,TS%▼,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
124,Alec Burks\burksal01,SG,29,NYK,44,1134,14.6,.561,.491,.250,1.8,17.0,9.4,13.1,1.3,1.0,8.2,20.9,,1.4,1.6,3.0,.127,,0.5,0.3,0.8,0.8
125,Brandon Clarke\clarkbr01,PF,24,MEM,45,1142,17.1,.561,.154,.227,6.4,17.3,11.7,9.3,2.0,3.1,5.5,17.6,,1.8,1.6,3.3,.141,,0.2,0.9,1.1,0.9
126,Buddy Hield\hieldbu01,SG,28,SAC,55,1900,12.1,.561,.737,.107,1.2,13.5,7.2,12.6,1.1,0.9,10.6,20.7,,1.0,0.2,1.2,.029,,0.4,-2.0,-1.5,0.2
127,Jerami Grant\grantje01,SF,26,DET,49,1687,17.2,.560,.358,.362,2.2,13.6,7.8,14.3,1.0,2.8,9.1,28.2,,1.8,1.3,3.1,.089,,2.2,-1.1,1.1,1.3
128,Patrick Williams\willipa01,PF,19,CHI,53,1509,10.2,.560,.270,.220,3.8,14.3,9.1,6.1,1.5,2.0,14.1,14.7,,0.2,1.5,1.7,.055,,-2.8,-0.2,-2.9,-0.4
129,Aaron Gordon\gordoaa01,PF,25,TOT,35,1014,15.6,.559,.367,.332,5.3,17.5,11.2,20.0,1.2,2.5,15.3,21.7,,0.6,0.9,1.6,.073,,0.9,0.2,1.1,0.8
130,Delon Wright\wrighde01,SG-PG,28,TOT,47,1275,15.9,.559,.310,.296,3.9,13.2,8.4,23.4,2.7,1.3,12.3,15.9,,1.9,1.3,3.2,.119,,0.7,1.4,2.1,1.3
131,Keldon Johnson\johnske04,SF,21,SAS,50,1427,14.3,.556,.258,.288,5.4,18.7,11.9,9.2,0.9,1.5,8.7,19.2,,1.3,1.3,2.6,.089,,-0.6,-1.1,-1.7,0.1
132,Shake Milton\miltosh01,SG,24,PHI,47,1131,14.9,.556,.296,.271,2.9,7.6,5.3,19.2,1.3,1.0,11.9,24.8,,1.1,1.3,2.4,.101,,-0.8,-1.1,-1.9,0.0
133,D'Angelo Russell\russeda01,PG,24,MIN,26,729,17.2,.555,.448,.230,1.6,8.7,5.0,30.2,1.6,1.3,13.2,30.5,,0.4,0.3,0.7,.043,,2.6,-2.1,0.5,0.5
134,Marvin Bagley III\baglema01,PF,21,SAC,37,951,16.2,.553,.231,.262,10.4,21.8,16.0,5.5,0.9,1.7,9.6,23.1,,0.8,0.3,1.1,.055,,-0.6,-2.9,-3.5,-0.4
135,Jordan Clarkson\clarkjo01,SG,28,UTA,51,1296,16.8,.552,.585,.118,3.3,12.6,8.1,13.9,1.7,0.5,9.9,29.2,,1.1,1.7,2.8,.104,,2.0,-1.0,1.0,1.0
136,James Wiseman\wisemja01,C,19,GSW,39,836,13.1,.552,.103,.234,7.0,21.7,14.4,5.0,0.6,3.8,12.9,23.8,,-0.4,1.1,0.7,.039,,-4.0,-1.4,-5.4,-0.7
137,Rui Hachimura\hachiru01,PF,22,WAS,45,1427,11.4,.550,.220,.271,3.0,16.5,9.7,6.8,1.2,0.2,9.6,18.2,,0.5,1.0,1.5,.049,,-2.0,-1.5,-3.6,-0.6
138,Gary Trent Jr.\trentga02,SG,22,TOT,52,1632,12.6,.550,.557,.132,1.4,7.3,4.3,7.1,1.4,0.5,5.2,20.4,,1.4,0.4,1.8,.052,,-0.3,-2.1,-2.4,-0.2
139,Furkan Korkmaz\korkmfu01,SG,23,PHI,44,843,12.7,.549,.620,.223,1.6,10.2,6.0,9.4,2.3,0.8,9.5,20.8,,0.4,1.2,1.6,.091,,-0.6,0.3,-0.3,0.4
140,Pascal Siakam\siakapa01,PF,26,TOR,46,1637,17.9,.549,.257,.336,5.2,17.4,11.1,21.2,1.5,2.1,10.2,25.6,,2.4,1.6,4.0,.117,,0.9,-0.3,0.6,1.1
141,Cory Joseph\josepco01,PG,29,TOT,56,1240,11.9,.548,.317,.220,2.7,9.7,6.1,20.3,2.1,1.0,14.7,15.6,,1.0,0.5,1.5,.057,,-2.3,-0.3,-2.6,-0.2
142,Hamidou Diallo\diallha01,SG-SF,22,TOT,42,969,15.1,.546,.151,.427,5.4,17.6,11.5,14.9,1.8,1.7,12.2,22.3,,0.5,1.0,1.5,.075,,-1.9,0.1,-1.8,0.1
143,Goran Dragić\dragigo01,PG,34,MIA,35,932,11.9,.546,.432,.241,1.5,12.5,7.1,27.0,1.1,0.7,17.8,24.5,,-0.3,0.9,0.6,.031,,-1.9,-1.9,-3.8,-0.4
144,Raul Neto\netora01,PG,28,WAS,48,966,12.4,.544,.368,.156,2.0,9.5,5.7,14.8,2.5,0.3,9.2,16.9,,0.6,0.8,1.5,.072,,-1.7,0.4,-1.4,0.1
145,Devonte' Graham\grahade01,PG,25,CHO,44,1310,14.2,.543,.697,.215,1.4,8.4,4.8,25.6,1.7,0.3,10.4,21.0,,1.7,0.9,2.5,.093,,1.2,-0.9,0.3,0.7
146,Immanuel Quickley\quickim01,PG,21,NYK,51,995,16.1,.543,.508,.297,2.5,10.2,6.3,17.4,1.3,1.1,7.7,26.5,,1.4,1.2,2.6,.125,,1.6,-0.8,0.8,0.7
147,Josh Richardson\richajo01,SG,27,DAL,44,1404,11.5,.543,.461,.193,3.0,9.1,6.1,12.5,1.4,1.1,11.0,17.7,,0.9,1.1,2.0,.067,,-1.5,-0.6,-2.1,0.0
148,Fred VanVleet\vanvlfr01,SG,26,TOR,44,1601,17.2,.543,.546,.240,1.9,11.2,6.4,26.0,2.3,2.1,9.7,23.9,,2.2,1.6,3.9,.116,,2.4,-0.1,2.3,1.8
149,Dennis Schröder\schrode01,SG,27,LAL,52,1649,13.4,.542,.268,.357,1.7,10.2,6.1,25.2,1.8,0.6,16.5,23.0,,0.7,2.5,3.2,.092,,-1.4,0.1,-1.4,0.3
150,Darius Garland\garlada01,PG,21,CLE,45,1502,13.5,.541,.324,.161,1.5,6.8,4.1,29.3,1.7,0.3,16.1,24.4,,0.1,0.8,1.0,.031,,-0.3,-1.9,-2.2,-0.1
151,Derrick White\whitede01,SG,26,SAS,29,855,13.8,.541,.533,.253,1.0,9.1,4.9,16.3,1.2,2.9,9.1,22.4,,0.5,0.8,1.2,.070,,0.2,-0.3,-0.1,0.4
152,Taurean Prince\princta02,PF,26,TOT,38,841,12.3,.540,.466,.238,2.4,15.7,9.0,12.8,1.5,2.4,11.7,19.9,,0.2,0.8,1.0,.057,,-1.1,-0.8,-1.9,0.0
153,Kevin Huerter\huertke01,SG,22,ATL,56,1733,12.0,.539,.529,.088,2.1,9.5,5.8,16.6,1.8,0.7,9.6,17.1,,1.6,1.2,2.8,.077,,-0.8,0.0,-0.8,0.5
154,Donte DiVincenzo\divindo01,SG,24,MIL,52,1428,13.1,.538,.556,.115,4.8,16.1,10.7,14.5,2.0,0.6,12.5,17.2,,1.2,1.8,2.9,.099,,-0.2,0.3,0.0,0.7
155,Al Horford\horfoal01,C,34,OKC,28,782,17.6,.538,.422,.061,3.9,21.3,12.6,20.1,1.5,2.9,7.3,22.0,,0.7,0.9,1.7,.103,,1.9,1.4,3.3,1.0
156,Sviatoslav Mykhailiuk\mykhasv01,SF-SG,23,TOT,51,989,10.7,.538,.678,.123,2.2,11.3,6.7,12.6,2.0,0.7,14.4,19.0,,-0.3,0.8,0.5,.023,,-1.6,-0.8,-2.5,-0.1
157,Will Barton\bartowi01,SF,30,DEN,52,1627,11.8,.537,.419,.184,2.6,12.2,7.4,13.7,1.4,1.3,12.7,18.8,,0.7,1.3,2.0,.059,,-0.9,-1.2,-2.1,0.0
158,P.J. Washington\washipj01,PF,22,CHO,48,1413,12.6,.537,.388,.246,5.2,18.6,11.8,13.3,1.6,4.4,16.6,18.9,,-0.1,1.8,1.7,.059,,-2.0,0.4,-1.6,0.1
159,Kemba Walker\walkeke02,PG,30,BOS,36,1123,16.1,.536,.525,.195,1.0,12.6,6.8,24.5,1.7,0.8,11.2,25.5,,1.2,0.9,2.2,.093,,1.6,-0.7,0.9,0.8
160,RJ Barrett\barrerj01,SG,20,NYK,56,1896,13.8,.532,.252,.277,3.3,14.8,9.1,14.3,1.2,0.8,10.7,23.6,,0.7,2.4,3.2,.080,,-1.0,-0.4,-1.3,0.3
161,Carmelo Anthony\anthoca01,PF,36,POR,53,1331,14.0,.531,.395,.208,2.0,12.0,6.9,9.5,1.4,2.3,7.4,23.3,,0.9,0.6,1.5,.053,,-0.7,-1.7,-2.4,-0.1
162,Kyle Kuzma\kuzmaky01,SF,25,LAL,53,1494,12.3,.531,.509,.125,7.2,18.5,13.0,8.6,0.8,1.8,12.7,21.3,,-0.2,2.3,2.2,.070,,-0.7,-0.9,-1.6,0.2
163,Ja Morant\moranja01,PG,21,MEM,45,1434,16.8,.531,.229,.390,3.0,8.8,5.8,34.1,1.3,0.5,14.7,27.5,,1.2,1.1,2.3,.077,,1.4,-2.1,-0.8,0.5
164,Tyler Herro\herroty01,SG,21,MIA,44,1383,12.5,.530,.420,.182,1.8,15.6,8.9,17.5,1.1,1.2,12.2,23.4,,-0.4,1.5,1.1,.037,,-1.0,-1.1,-2.1,0.0
165,Terrence Ross\rosste01,SG,29,ORL,45,1325,13.3,.530,.432,.224,1.1,11.5,6.1,13.1,1.7,1.4,9.8,24.3,,0.0,1.1,1.1,.038,,-1.3,-1.0,-2.3,-0.1
166,Lonnie Walker\walkelo01,SG,22,SAS,41,1042,10.4,.530,.459,.132,1.0,10.4,5.6,9.1,1.0,1.2,8.5,20.2,,-0.1,0.7,0.6,.027,,-2.0,-1.5,-3.5,-0.4
167,Kelly Oubre Jr.\oubreke01,SF,25,GSW,50,1542,13.2,.528,.394,.226,5.0,15.8,10.4,6.7,1.6,2.2,7.9,21.7,,0.0,1.9,1.9,.058,,-1.6,-0.5,-2.1,-0.1
168,Eric Bledsoe\bledser01,SG,31,NOP,54,1628,10.9,.527,.505,.242,1.5,11.0,6.3,16.8,1.1,0.9,12.6,18.0,,0.8,0.6,1.4,.040,,-1.4,-1.7,-3.1,-0.5
169,Lou Williams\willilo02,PG,34,TOT,51,1133,15.1,.525,.270,.253,1.7,8.2,5.1,23.0,1.9,0.4,11.9,25.8,,0.8,1.0,1.8,.074,,-0.7,-1.5,-2.3,-0.1
170,Nickeil Alexander-Walker\alexani01,SG,22,NOP,41,851,12.6,.524,.495,.138,1.3,15.0,8.2,13.7,2.3,2.4,12.4,22.8,,-0.2,0.8,0.6,.033,,-1.6,-0.1,-1.7,0.1
171,Rudy Gay\gayru01,PF,34,SAS,46,997,14.2,.524,.437,.167,3.7,21.0,12.1,10.4,1.7,2.2,9.2,23.2,,-0.1,1.3,1.2,.057,,-0.3,-0.2,-0.6,0.3
172,Caris LeVert\leverca01,SG,26,TOT,30,924,16.9,.523,.340,.203,2.6,13.5,8.1,24.7,2.2,1.4,10.4,27.4,,0.5,0.9,1.4,.074,,-0.3,-0.4,-0.6,0.3
173,Coby White\whiteco01,PG,20,CHI,51,1557,10.9,.523,.477,.148,1.6,13.5,7.7,20.1,0.8,0.4,14.0,22.2,,0.0,1.0,1.0,.031,,-2.0,-1.8,-3.9,-0.7
174,Isaac Okoro\okorois01,SG,20,CLE,50,1594,7.2,.518,.391,.254,3.1,6.9,5.0,8.0,1.6,1.2,14.6,12.7,,-0.3,1.0,0.7,.020,,-4.4,-0.4,-4.8,-1.1
175,Luguentz Dort\dortlu01,SG,21,OKC,43,1268,10.1,.517,.518,.231,2.4,10.2,6.3,8.3,1.5,1.1,10.2,20.9,,-0.6,0.9,0.4,.014,,-2.8,-0.8,-3.5,-0.5
176,Josh Jackson\jacksjo02,SG,23,DET,50,1226,12.3,.517,.358,.283,4.2,14.8,9.4,14.2,1.8,2.5,14.4,26.2,,-1.1,1.3,0.2,.007,,-2.3,-0.8,-3.1,-0.4
177,Talen Horton-Tucker\hortota01,SG,20,LAL,51,1001,12.5,.516,.274,.228,2.4,12.9,7.7,19.6,2.4,1.8,15.0,21.9,,-0.3,1.8,1.6,.075,,-2.8,1.4,-1.4,0.2
178,Tyus Jones\jonesty01,PG,24,MEM,53,1014,15.4,.513,.333,.101,2.1,10.8,6.3,28.5,2.6,0.5,10.0,16.6,,1.3,1.2,2.5,.117,,-0.1,0.8,0.8,0.7
179,Dejounte Murray\murrade01,PG,24,SAS,51,1615,16.7,.512,.211,.138,2.4,21.1,11.5,25.2,2.5,0.3,9.8,23.5,,0.6,2.1,2.8,.082,,-0.3,1.0,0.7,1.1
180,Victor Oladipo\oladivi01,SG,28,TOT,33,1080,14.5,.512,.415,.240,1.2,15.2,8.0,23.1,2.0,1.2,11.5,28.6,,-0.5,1.1,0.5,.024,,-0.6,-0.9,-1.5,0.1
181,Aaron Holiday\holidaa01,PG,24,IND,52,911,9.1,.507,.431,.167,1.1,6.8,3.9,13.2,1.7,0.8,11.6,19.9,,-0.4,0.6,0.1,.008,,-3.2,-1.1,-4.3,-0.5
182,Derrick Rose\rosede01,PG,32,TOT,35,839,16.0,.507,.219,.226,1.8,8.4,5.1,27.7,2.2,1.8,11.0,26.6,,0.2,1.0,1.2,.068,,0.2,-0.3,-0.1,0.4
183,Ricky Rubio\rubiori01,PG,30,MIN,52,1357,13.1,.505,.398,.336,1.6,12.3,6.7,35.4,2.6,0.2,17.9,16.1,,1.1,0.9,2.0,.069,,-2.4,-0.2,-2.6,-0.2
184,Dillon Brooks\brookdi01,SF,25,MEM,50,1475,11.4,.504,.364,.172,2.8,7.9,5.3,12.0,1.9,1.2,10.2,25.9,,-0.7,1.5,0.8,.025,,-2.9,-1.4,-4.2,-0.8
185,Russell Westbrook\westbru01,PG,32,WAS,47,1662,18.4,.504,.221,.335,4.9,27.5,16.2,48.3,1.7,0.9,18.8,31.4,,-0.6,2.0,1.4,.039,,1.9,0.2,2.2,1.7
186,John Wall\walljo01,PG,30,HOU,36,1161,16.1,.503,.345,.287,1.5,9.7,5.4,36.8,1.6,2.2,14.1,31.9,,-0.7,0.9,0.2,.008,,1.6,-1.5,0.1,0.6
187,Anthony Edwards\edwaran01,SG,19,MIN,56,1755,12.4,.500,.415,.211,2.8,12.8,7.5,13.6,1.7,1.2,10.6,27.2,,-1.4,0.9,-0.6,-0.016,,-1.8,-2.1,-3.9,-0.8
188,Andre Drummond\drumman01,C,27,TOT,30,835,19.4,.499,.019,.345,15.0,36.8,25.7,14.9,2.8,3.5,16.6,30.2,,-1.0,1.7,0.7,.042,,-1.4,0.3,-1.1,0.2
189,Elfrid Payton\paytoel01,PG,26,NYK,47,1221,13.2,.496,.163,.190,5.2,10.2,7.7,21.4,1.4,0.7,12.4,23.3,,-0.1,1.5,1.4,.055,,-1.7,-0.6,-2.3,-0.1
190,Darius Bazley\bazleda01,PF,20,OKC,39,1197,9.3,.493,.448,.192,2.2,23.0,12.6,7.6,0.8,1.7,13.5,20.0,,-1.6,1.1,-0.5,-0.018,,-3.2,-0.9,-4.1,-0.6
191,Théo Maledon\maledth01,PG,19,OKC,49,1342,8.0,.493,.517,.196,1.4,11.4,6.4,18.2,1.6,0.4,17.5,18.7,,-1.3,1.0,-0.4,-0.013,,-4.4,-0.9,-5.3,-1.1
192,Dwayne Bacon\bacondw01,SG,25,ORL,55,1381,9.1,.489,.310,.222,1.3,11.5,6.2,7.4,1.0,0.3,5.7,19.1,,-0.4,0.7,0.4,.013,,-3.8,-1.6,-5.3,-1.2
193,Denzel Valentine\valende01,SG,27,CHI,47,823,10.6,.484,.579,.034,2.8,19.9,11.4,13.2,1.5,0.1,8.0,18.9,,-0.1,0.8,0.7,.039,,-1.9,-0.8,-2.7,-0.1
194,Cedi Osman\osmande01,SF,25,CLE,49,1179,10.0,.470,.560,.159,2.7,12.8,7.6,16.3,1.8,0.6,9.5,20.3,,-0.5,0.9,0.4,.016,,-1.9,-0.8,-2.7,-0.2
195,Cole Anthony\anthoco01,PG,20,ORL,30,787,10.9,.466,.301,.193,3.3,14.9,8.9,23.5,1.2,1.5,13.9,22.6,,-0.7,0.6,-0.1,-0.006,,-2.7,-1.1,-3.8,-0.4
